{port=15015, GCS_IP=192.168.0.164, system_id=1, flight_status=0, auto_time=167.0, throttle_active=false, lat=35.0801339, lon=129.0892342, alt=30.355, dist_traveled=4445.291477024397, wp_dist=65535, heading=322, target_heading=322, previous_heading=32200, dist_to_home=462.9891614092807, vertical_speed=0.08869701623916626, ground_speed=25.348297119140625, wind_vel=0.031247379258275032, airspeed=25.194005966186523, gps_hdop=1.21, roll=0.09, pitch=-2.44, yaw=-37.61, ch3percent=0.0, ch9out=0.0, tot=2585.38, toh=18.27, time_in_air=20.0, throttle_time_in_air=167.143, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921074, lat=35.0766976}, waypoints=[{seq=0, lat=35.0766976, lon=129.0921074, alt=43.8}], ch3out=1000, timestamp=2025-07-18T13:09:12.49738, flight_count=2}
{port=15015, GCS_IP=192.168.0.164, system_id=1, flight_status=0, auto_time=167.0, throttle_active=false, lat=35.0804082, lon=129.0889853, alt=30.455, dist_traveled=4483.281883240232, wp_dist=65535, heading=322, target_heading=322, previous_heading=32200, dist_to_home=500.9533771817303, vertical_speed=0.08528077602386475, ground_speed=25.312210083007812, wind_vel=0.031247379258275032, airspeed=25.087047576904297, gps_hdop=1.21, roll=-0.18, pitch=-2.53, yaw=-37.58, ch3percent=0.0, ch9out=0.0, tot=2589.07, toh=19.79, time_in_air=21.0, throttle_time_in_air=167.143, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921074, lat=35.0766976}, waypoints=[{seq=0, lat=35.0766976, lon=129.0921074, alt=43.8}], ch3out=1000, timestamp=2025-07-18T13:09:13.497364, flight_count=2}
{port=15015, GCS_IP=192.168.0.164, system_id=1, flight_status=0, auto_time=167.0, throttle_active=false, lat=35.0804994, lon=129.0889026, alt=30.486, dist_traveled=4495.910045560487, wp_dist=65535, heading=322, target_heading=322, previous_heading=32200, dist_to_home=513.57383176027, vertical_speed=0.08267530798912048, ground_speed=25.29402732849121, wind_vel=0.031247379258275032, airspeed=25.096092224121094, gps_hdop=1.21, roll=-0.11, pitch=-2.52, yaw=-37.6, ch3percent=0.0, ch9out=0.0, tot=2590.93, toh=20.3, time_in_air=22.0, throttle_time_in_air=167.143, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921074, lat=35.0766976}, waypoints=[{seq=0, lat=35.0766976, lon=129.0921074, alt=43.8}], ch3out=1000, timestamp=2025-07-18T13:09:14.492905, flight_count=2}
{port=15015, GCS_IP=192.168.0.164, system_id=1, flight_status=0, auto_time=167.0, throttle_active=false, lat=35.0807722, lon=129.0886553, alt=30.547, dist_traveled=4533.679686473607, wp_dist=65535, heading=322, target_heading=322, previous_heading=32200, dist_to_home=551.322704287362, vertical_speed=-0.03325669467449188, ground_speed=25.224905014038086, wind_vel=0.031247379258275032, airspeed=25.002058029174805, gps_hdop=1.21, roll=0.12, pitch=-2.73, yaw=-37.52, ch3percent=0.0, ch9out=0.0, tot=2598.03, toh=21.86, time_in_air=23.0, throttle_time_in_air=167.143, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921074, lat=35.0766976}, waypoints=[{seq=0, lat=35.0766976, lon=129.0921074, alt=43.8}], ch3out=1000, timestamp=2025-07-18T13:09:15.494971, flight_count=2}
{port=15015, GCS_IP=192.168.0.164, system_id=1, flight_status=0, auto_time=167.0, throttle_active=false, lat=35.080863, lon=129.0885731, alt=30.536, dist_traveled=4546.245002059186, wp_dist=65535, heading=322, target_heading=322, previous_heading=32200, dist_to_home=563.881982763489, vertical_speed=0.005190232302993536, ground_speed=25.215957641601562, wind_vel=0.031247379258275032, airspeed=25.045183181762695, gps_hdop=1.21, roll=-0.08, pitch=-2.61, yaw=-37.59, ch3percent=0.0, ch9out=0.0, tot=2598.95, toh=22.36, time_in_air=24.0, throttle_time_in_air=167.143, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921074, lat=35.0766976}, waypoints=[{seq=0, lat=35.0766976, lon=129.0921074, alt=43.8}], ch3out=1000, timestamp=2025-07-18T13:09:16.496109, flight_count=2}
{port=15015, GCS_IP=192.168.0.164, system_id=1, flight_status=0, auto_time=167.0, throttle_active=false, lat=35.0811349, lon=129.0883269, alt=30.546, dist_traveled=4583.874578640248, wp_dist=65535, heading=322, target_heading=322, previous_heading=32200, dist_to_home=601.494880442989, vertical_speed=-0.005861636716872454, ground_speed=25.188066482543945, wind_vel=0.031247379258275032, airspeed=25.00102424621582, gps_hdop=1.21, roll=-0.16, pitch=-2.65, yaw=-37.54, ch3percent=0.0, ch9out=0.0, tot=2601.83, toh=23.88, time_in_air=25.0, throttle_time_in_air=167.143, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921074, lat=35.0766976}, waypoints=[{seq=0, lat=35.0766976, lon=129.0921074, alt=43.8}], ch3out=1000, timestamp=2025-07-18T13:09:17.492617, flight_count=2}
{port=15015, GCS_IP=192.168.0.164, system_id=1, flight_status=0, auto_time=167.0, throttle_active=false, lat=35.0812251, lon=129.0882452, alt=30.536, dist_traveled=4596.3591827449045, wp_dist=65535, heading=322, target_heading=322, previous_heading=32200, dist_to_home=613.9743501990793, vertical_speed=-8.380229119211435E-4, ground_speed=25.140697479248047, wind_vel=0.031247379258275032, airspeed=25.007043838500977, gps_hdop=1.21, roll=0.05, pitch=-2.54, yaw=-37.58, ch3percent=0.0, ch9out=0.0, tot=2606.73, toh=24.42, time_in_air=26.0, throttle_time_in_air=167.143, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921074, lat=35.0766976}, waypoints=[{seq=0, lat=35.0766976, lon=129.0921074, alt=43.8}], ch3out=1000, timestamp=2025-07-18T13:09:18.492933, flight_count=2}
{port=15015, GCS_IP=192.168.0.164, system_id=1, flight_status=0, auto_time=167.0, throttle_active=false, lat=35.0814977, lon=129.0879985, alt=30.491, dist_traveled=4634.078327151406, wp_dist=65535, heading=322, target_heading=322, previous_heading=32200, dist_to_home=651.6795904371496, vertical_speed=-0.018692070618271828, ground_speed=25.144899368286133, wind_vel=0.031247379258275032, airspeed=25.04852294921875, gps_hdop=1.21, roll=-0.21, pitch=-2.59, yaw=-37.59, ch3percent=0.0, ch9out=0.0, tot=2606.29, toh=25.92, time_in_air=27.0, throttle_time_in_air=167.143, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921074, lat=35.0766976}, waypoints=[{seq=0, lat=35.0766976, lon=129.0921074, alt=43.8}], ch3out=1000, timestamp=2025-07-18T13:09:19.495359, flight_count=2}
{port=15015, GCS_IP=192.168.0.164, system_id=1, flight_status=0, auto_time=167.0, throttle_active=false, lat=35.0815881, lon=129.0879166, alt=30.502, dist_traveled=4646.591614871433, wp_dist=65535, heading=322, target_heading=322, previous_heading=32200, dist_to_home=664.1884452247625, vertical_speed=0.05782952532172203, ground_speed=25.161483764648438, wind_vel=0.031247379258275032, airspeed=25.054351806640625, gps_hdop=1.21, roll=-0.14, pitch=-2.5, yaw=-37.6, ch3percent=0.0, ch9out=0.0, tot=2604.58, toh=26.4, time_in_air=28.0, throttle_time_in_air=167.143, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921074, lat=35.0766976}, waypoints=[{seq=0, lat=35.0766976, lon=129.0921074, alt=43.8}], ch3out=1000, timestamp=2025-07-18T13:09:20.492846, flight_count=2}
{port=15015, GCS_IP=192.168.0.164, system_id=1, flight_status=0, auto_time=167.0, throttle_active=false, lat=35.08177, lon=129.0877519, alt=30.54, dist_traveled=4671.765206390365, wp_dist=65535, heading=322, target_heading=322, previous_heading=32200, dist_to_home=689.3537858967088, vertical_speed=0.032983846962451935, ground_speed=25.183799743652344, wind_vel=0.031247379258275032, airspeed=25.033979415893555, gps_hdop=1.21, roll=-0.15, pitch=-2.64, yaw=-37.58, ch3percent=0.0, ch9out=0.0, tot=2602.27, toh=27.37, time_in_air=29.0, throttle_time_in_air=167.143, ch10out=0.0, ch11out=0.0, ch12out=0.0, battery_voltage=0, battery_current=-1, waypoints_count=0, home_location={lon=129.0921074, lat=35.0766976}, waypoints=[{seq=0, lat=35.0766976, lon=129.0921074, alt=43.8}], ch3out=1000, timestamp=2025-07-18T13:09:21.497296, flight_count=2}
